slug,name,timezone,location
uk-national-news,U.K. national news,Europe/London,London
us-national-newspapers,U.S. national newspaper,America/New_York,New York
us-national-television,U.S. national television,America/New_York,New York
socal,Southern California,America/Los_Angeles,Los Angeles
eastern-europe,Eastern Europe,Europe/Kiev,Kiev
wisconsin,Wisconsin,America/Chicago,Milwaukee
bay-area,California Bay Area,America/Los_Angeles,San Francisco
iowa,Iowa,America/Chicago,Iowa City
new-mexico,New Mexico,America/Denver,Albuquerque
