slug,name,timezone,location
us-national-newspapers,U.S. national newspapers,America/New_York,New York
us-national-television,U.S. national television,America/New_York,New York
socal,Southern California,America/Los_Angeles,Los Angeles
eastern-europe,Eastern Europe,Europe/Kiev,Kiev
